Construct_Name,Source,Definition_Text,Paper_Count,Reference_URLs
Selection Assessment Methods Used,O*NET,The methods used for selection or promotion of employees,0,https://www.onetonline.org/find/result?s=Selection+Assessment+Methods+Used
Assessment Methods Used to Select for Job,O*NET,Which of the following assessment methods are used to select people for your current job?,0,https://www.onetonline.org/find/result?s=Assessment+Methods+Used+to+Select+for+Job
Training and Development,O*NET,"The systematic acquisition of attitudes, concepts, knowledge, roles, or skills that result in improved performance at work",0,https://www.onetonline.org/find/result?s=Training+and+Development
Training Methods,O*NET,The methods used in training programs,0,https://www.onetonline.org/find/result?s=Training+Methods
Training Methods Used in Company,O*NET,Which of the following training methods have been used in company training courses you have attended in the last two years?,0,https://www.onetonline.org/find/result?s=Training+Methods+Used+in+Company
Training Topics and Content,O*NET,What trainers intend to teach trainees through training programs,0,https://www.onetonline.org/find/result?s=Training+Topics+and+Content
Areas of Recent Formal Training,O*NET,In which of the following content areas have you received formal training in the last two years?,0,https://www.onetonline.org/find/result?s=Areas+of+Recent+Formal+Training
Extent and Support of Training Activities,O*NET,The extent to which an organization makes training available to its employees and provides financial support for training activities,0,https://www.onetonline.org/find/result?s=Extent+and+Support+of+Training+Activities
Recent Technical Skill Training,O*NET,"In the last two years, how often have you attended company sponsored job-related technical training (i.e., technical skill training)?",0,https://www.onetonline.org/find/result?s=Recent+Technical+Skill+Training
Reward System,O*NET,Monetary compensation and monetary and non-monetary benefits organizations provide to their employees,0,https://www.onetonline.org/find/result?s=Reward+System
Basis of Compensation,O*NET,"The extent to which organizations reward individuals based on: (a) their knowledge, skills, and performance, (b) seniority, (c) team performance, (d) organizational performance, and (e) job attributes",0,https://www.onetonline.org/find/result?s=Basis+of+Compensation
Compensation Package Components,O*NET,"Which of the following is part of your compensation package (i.e., pay)?",0,https://www.onetonline.org/find/result?s=Compensation+Package+Components
Benefits,O*NET,"The extent to which employees' compensation includes benefits such as pensions, insurance, paid leave, awards and bonuses, pay for time not worked, etc.",0,https://www.onetonline.org/find/result?s=Benefits
Benefit Components,O*NET,Which of the following is part of your benefits?,0,https://www.onetonline.org/find/result?s=Benefit+Components
Social Processes,O*NET,"A functional subsystem of organization structure subsuming processes linking people (employees) to their work and to each other and includes elements such as values, goals, leadership, and roles",0,https://www.onetonline.org/find/result?s=Social+Processes
Goals,O*NET,Individual goal setting.,0,https://www.onetonline.org/find/result?s=Goals
Individual Goal Characteristics,O*NET,"The extent to which an individual's goal is made explicit, and the probability that an individual can attain the goal",0,https://www.onetonline.org/find/result?s=Individual+Goal+Characteristics
Achieve Most Important Individual Goal,O*NET,"Realistically, the probability that you will achieve your most important individual work goal this year is:",0,https://www.onetonline.org/find/result?s=Achieve+Most+Important+Individual+Goal
How Many Quantitative Individual Goals,O*NET,"How many of your individual work goals are quantitative (e.g., selling $100,000 worth of merchandise as opposed to selling as much merchandise as possible).",0,https://www.onetonline.org/find/result?s=How+Many+Quantitative+Individual+Goals
Goal Feedback,O*NET,The extent to which an individual is given periodic feedback regarding his or her progress against a goal,0,https://www.onetonline.org/find/result?s=Goal+Feedback
How Many Specific Individual Goals,O*NET,"How many of your individual work goals are specific -- that is, you will know exactly when you have achieved them?",0,https://www.onetonline.org/find/result?s=How+Many+Specific+Individual+Goals
When Get Information on Individual Goals,O*NET,"How often do you get information regarding how close you are to achieving your most important individual work goal (for example, an interim financial report or data on number of units sold)?",0,https://www.onetonline.org/find/result?s=When+Get+Information+on+Individual+Goals
"Informal, Job-Relevant Feedback",O*NET,"To what extent do you receive informal, job-relevant feedback from your supervisor?",0,https://www.onetonline.org/find/result?s=Informal%2C+Job-Relevant+Feedback
"Meet One-on-One With Supervisor on Goals, Training, and Development",O*NET,"During the past year, how often have you met one-on-one with your immediate supervisor to discuss issues such as your performance, goals, training and development?",0,https://www.onetonline.org/find/result?s=Meet+One-on-One+With+Supervisor+on+Goals%2C+Training%2C+and+Development
Roles,O*NET,"Characteristics of job incumbents' roles, such as the extent to which they involve conflict and overload",0,https://www.onetonline.org/find/result?s=Roles
Role Conflict,O*NET,The extent to which an individual has to deal with conflicting demands,0,https://www.onetonline.org/find/result?s=Role+Conflict
Often Receive Conflicting Requests,O*NET,You often receive conflicting requests from two or more people at work.,0,https://www.onetonline.org/find/result?s=Often+Receive+Conflicting+Requests
Work With Groups With Different Focuses,O*NET,You work with two or more groups who want you to focus on different things.,0,https://www.onetonline.org/find/result?s=Work+With+Groups+With+Different+Focuses
You and Your Supervisor Agree About Job,O*NET,You and your supervisor agree about what your job should be.,0,https://www.onetonline.org/find/result?s=You+and+Your+Supervisor+Agree+About+Job
Supervisor Makes Conflicting Requests,O*NET,"Your supervisor often asks you to do two or more things that conflict (for example, save a large amount of money while at the same time dramatically increasing quality).",0,https://www.onetonline.org/find/result?s=Supervisor+Makes+Conflicting+Requests
Role Negotiability,O*NET,The extent to which an individual can negotiate his/her role in an organization,0,https://www.onetonline.org/find/result?s=Role+Negotiability
Negotiate Changes in Role with Supervisor,O*NET,You have negotiated changes in the nature of your role at work with your supervisor.,0,https://www.onetonline.org/find/result?s=Negotiate+Changes+in+Role+with+Supervisor
Significant Input Into Way You Do Job,O*NET,You have significant input into the way you do your job.,0,https://www.onetonline.org/find/result?s=Significant+Input+Into+Way+You+Do+Job
Role Overload,O*NET,A discrepancy between the job's demands and one's ability to meet those demands,0,https://www.onetonline.org/find/result?s=Role+Overload
Get Assignments without Adequate Resources,O*NET,You receive assignments at work without adequate resources and materials to complete them properly.,0,https://www.onetonline.org/find/result?s=Get+Assignments+without+Adequate+Resources
Given Enough Time to Do Work,O*NET,You are given enough time to do what is expected of you at work.,0,https://www.onetonline.org/find/result?s=Given+Enough+Time+to+Do+Work
Too Much for One Person to Do,O*NET,It often seems like you have too much work for one person to do.,0,https://www.onetonline.org/find/result?s=Too+Much+for+One+Person+to+Do
